,nombre,enlace,estado,tipo_de_representacion,representacion
0,Abasolo Sánchez Pedro Daniel,curricula.php?dipt=484,México,Circunscripcion,5
1,Aguilar Castillo Heriberto Marcelo,curricula.php?dipt=250,Sonora,Distrito,4
2,Aguilar Linda Bonifacio,curricula.php?dipt=289,Veracruz,Distrito,18
3,Aguilar Molina Leticia Arlett,curricula.php?dipt=57,Chiapas,Distrito,9
4,Aguilar Vázquez Adriana,curricula.php?dipt=370,San Luis Potosí,Circunscripcion,2
5,Aguilera Brenes Sebastián,curricula.php?dipt=333,Chihuahua,Circunscripcion,1
6,Aguilera Chairez Maribel,curricula.php?dipt=73,Durango,Distrito,3
7,Alavez Ruiz Aleida,curricula.php?dipt=34,Ciudad de México,Distrito,19
8,Alegre Salazar Luis Javier,curricula.php?dipt=409,Quintana Roo,Circunscripcion,3
9,Alejandro Candelaria Maximino,curricula.php?dipt=457,Ciudad de México,Circunscripcion,4
10,Alfaro Morales María Isabel,curricula.php?dipt=102,Hidalgo,Distrito,4
11,Almazán Burgos Karla Yuritzi,curricula.php?dipt=163,México,Distrito,38
12,Alvarado Moreno María Guillermina,curricula.php?dipt=188,Nuevo León,Distrito,2
13,Ambrocio Gachuz José Guadalupe,curricula.php?dipt=183,Morelos,Distrito,5
14,Andazola Gómez Socorro Irma,curricula.php?dipt=7,Baja California,Distrito,4
15,Andrade Zavala Marco Antonio,curricula.php?dipt=413,Chiapas,Circunscripcion,3
16,Angeles Mendoza Julio César,curricula.php?dipt=103,Hidalgo,Distrito,5
17,Antonio Altamirano Carol,curricula.php?dipt=203,Oaxaca,Distrito,5
18,Arenas Madrigal Edgar Eduardo,curricula.php?dipt=662,México,Distrito,37
19,Arrieta Sánchez Eleuterio,curricula.php?dipt=284,Veracruz,Distrito,13
20,Arvizu De la Luz Felipe Rafael,curricula.php?dipt=137,México,Distrito,12
21,Ascencio Ortega Reyna Celeste,curricula.php?dipt=485,Michoacán,Circunscripcion,5
22,Audiffred Fernández Karen Ivette,curricula.php?dipt=536,Ciudad de México,Distrito,21
23,Avalos Magaña Laura Patricia,curricula.php?dipt=258,Tabasco,Distrito,5
24,Avila Vera Mildred Concepción,curricula.php?dipt=231,Quintana Roo,Distrito,3
25,Ayala Bobadilla Carlos Iván,curricula.php?dipt=741,Sinaloa,Distrito,2
26,Badillo Moreno Cuauhtli Fernando,curricula.php?dipt=379,San Luis Potosí,Circunscripcion,2
27,Bahena Jiménez Socorro,curricula.php?dipt=483,México,Circunscripcion,5
28,Barajas Barajas Esteban,curricula.php?dipt=168,Michoacán,Distrito,2
29,Barrera Badillo Rocío,curricula.php?dipt=26,Ciudad de México,Distrito,11
30,Barroso Chávez Alejandro,curricula.php?dipt=223,Puebla,Distrito,15
31,Bautista Bravo Juan Angel,curricula.php?dipt=156,México,Distrito,31
32,Bautista Peláez Maria del Carmen,curricula.php?dipt=207,Oaxaca,Distrito,9
33,Bautista Rivera David,curricula.php?dipt=445,Puebla,Circunscripcion,4
34,Bayardo Cabrera Rosa María,curricula.php?dipt=548,Colima,Distrito,2
35,Blas López Víctor,curricula.php?dipt=419,Oaxaca,Circunscripcion,3
36,Bonifaz Moedano Raúl Eduardo,curricula.php?dipt=554,Chiapas,Distrito,6
37,Bonilla Herrera Raquel,curricula.php?dipt=276,Veracruz,Distrito,5
38,Borrego Adame Francisco Javier,curricula.php?dipt=41,Coahuila,Distrito,2
39,Briceño Zuloaga María Wendy,curricula.php?dipt=251,Sonora,Distrito,5
40,Burelo Cortazar Teresa,curricula.php?dipt=255,Tabasco,Distrito,2
41,Calderón Medina Samuel,curricula.php?dipt=443,Morelos,Circunscripcion,4
42,Calderón Salas Rodrigo,curricula.php?dipt=278,Veracruz,Distrito,7
43,Campos Equihua Ignacio Benjamín,curricula.php?dipt=175,Michoacán,Distrito,9
44,Cano González Susana,curricula.php?dipt=487,México,Circunscripcion,5
45,Carbajal Miranda Marco Antonio,curricula.php?dipt=327,Sonora,Circunscripcion,1
46,Carranza Aréas Julio,curricula.php?dipt=405,Veracruz,Circunscripcion,3
47,Carrasco Godínez Nelly Minerva,curricula.php?dipt=129,México,Distrito,4
48,Carrazco Macías Olegaria,curricula.php?dipt=245,Sinaloa,Distrito,6
49,Carrillo Luna Juana,curricula.php?dipt=489,México,Circunscripcion,5
50,Carrillo Martínez Miroslava,curricula.php?dipt=159,México,Distrito,34
51,Carvajal Hidalgo Alejandro,curricula.php?dipt=214,Puebla,Distrito,6
52,Castañeda Ortiz María Guadalupe Edith,curricula.php?dipt=495,México,Circunscripcion,5
53,Castillo Lozano Katia Alejandra,curricula.php?dipt=338,Jalisco,Circunscripcion,1
54,Cayetano García Rubén,curricula.php?dipt=97,Guerrero,Distrito,8
55,Cazarez Yañez Martina,curricula.php?dipt=375,San Luis Potosí,Circunscripcion,2
56,Chávez Pérez María,curricula.php?dipt=497,Michoacán,Circunscripcion,5
57,Chico Herrera Miguel Ángel,curricula.php?dipt=371,Guanajuato,Circunscripcion,2
58,Clouthier Carrillo Tatiana,curricula.php?dipt=328,Sinaloa,Circunscripcion,1
59,Contreras Castillo Armando,curricula.php?dipt=415,Oaxaca,Circunscripcion,3
60,Contreras Montes Gustavo,curricula.php?dipt=133,México,Distrito,8
61,Cruz Santos Flora Tania,curricula.php?dipt=282,Veracruz,Distrito,11
62,Cuaxiloa Serrano Susana Beatriz,curricula.php?dipt=452,Puebla,Circunscripcion,4
63,Cuevas Barron Gabriela,curricula.php?dipt=450,Ciudad de México,Circunscripcion,4
64,De Jesús Jiménez Lucio,curricula.php?dipt=451,Ciudad de México,Circunscripcion,4
65,De La Cruz Delucio Patricia Del Carmen,curricula.php?dipt=402,Chiapas,Circunscripcion,3
66,Del Bosque Villarreal Diego Eduardo,curricula.php?dipt=374,Coahuila,Circunscripcion,2
67,Del Castillo Ibarra Erika Vanessa,curricula.php?dipt=16,Ciudad de México,Distrito,1
68,Delgado Carrillo Mario,curricula.php?dipt=28,Ciudad de México,Distrito,13
69,Delsol Estrada José Ricardo,curricula.php?dipt=236,San Luis Potosí,Distrito,4
70,Díaz Aguilar Leticia,curricula.php?dipt=448,Ciudad de México,Circunscripcion,4
71,Diaz García María Elizabeth,curricula.php?dipt=138,México,Distrito,13
72,Domínguez Flores Rosalinda,curricula.php?dipt=205,Oaxaca,Distrito,7
73,Domínguez Rodríguez Roberto Ángel,curricula.php?dipt=153,México,Distrito,28
74,Elizondo Garrido Francisco,curricula.php?dipt=380,Nuevo León,Circunscripcion,2
75,Elorza Flores José Luis,curricula.php?dipt=60,Chiapas,Distrito,12
76,Espadas Méndez Gregorio Efraín,curricula.php?dipt=256,Tabasco,Distrito,3
77,Espinosa de los Monteros García Adriana María Guadalupe,curricula.php?dipt=24,Ciudad de México,Distrito,9
78,Espinoza Lopez Brenda,curricula.php?dipt=446,Morelos,Circunscripcion,4
79,Espinoza Segura María Bertha,curricula.php?dipt=274,Veracruz,Distrito,3
80,Exsome Zapata Ricardo Francisco,curricula.php?dipt=275,Veracruz,Distrito,4
81,Farías Zambrano Melba Nelia,curricula.php?dipt=42,Coahuila,Distrito,3
82,Farrera Esponda Juan Enrique,curricula.php?dipt=58,Chiapas,Distrito,10
83,Fernández Cruz Nayeli Arlen,curricula.php?dipt=441,Ciudad de México,Circunscripcion,4
84,Flores Anguiano Feliciano,curricula.php?dipt=167,Michoacán,Distrito,1
85,Flores Olivo Lucía,curricula.php?dipt=458,Ciudad de México,Circunscripcion,4
86,García Anaya Lidia,curricula.php?dipt=104,Hidalgo,Distrito,6
87,García Cayetano Dorheny,curricula.php?dipt=418,Veracruz,Circunscripcion,3
88,García Corpus Teófilo Manuel,curricula.php?dipt=389,Oaxaca,Circunscripcion,3
89,García Guardado Ma. de Jesús,curricula.php?dipt=357,Zacatecas,Circunscripcion,2
90,García Hernández Jesús Fernando,curricula.php?dipt=242,Sinaloa,Distrito,3
91,García Rosales Edith,curricula.php?dipt=400,Veracruz,Circunscripcion,3
92,García Rubio Agustín,curricula.php?dipt=498,Michoacán,Circunscripcion,5
93,García Soto Ulises,curricula.php?dipt=65,Chihuahua,Distrito,4
94,García Vidaña Martha Olivia,curricula.php?dipt=71,Durango,Distrito,1
95,García Zepeda Julieta,curricula.php?dipt=493,Michoacán,Circunscripcion,5
96,Gómez Ventura Manuel,curricula.php?dipt=407,Veracruz,Circunscripcion,3
97,Gómez Álvarez Pablo,curricula.php?dipt=38,Ciudad de México,Distrito,23
98,González Castañeda Sandra Paola,curricula.php?dipt=198,Nuevo León,Distrito,12
99,González Reyes Marco Antonio,curricula.php?dipt=492,México,Circunscripcion,5
100,González Robledo Erasmo,curricula.php?dipt=266,Tamaulipas,Distrito,7
101,Guerra Mena Juanita,curricula.php?dipt=181,Morelos,Distrito,3
102,Guerra Méndez Lizeth Amayrani,curricula.php?dipt=404,Veracruz,Circunscripcion,3
103,Guerrero Barrera Yolanda,curricula.php?dipt=171,Michoacán,Distrito,5
104,Guillén Quiroz Ana Lilia,curricula.php?dipt=174,Michoacán,Distrito,8
105,Gutiérrez Gutiérrez Daniel,curricula.php?dipt=208,Oaxaca,Distrito,10
106,Gutiérrez Luna Sergio Carlos,curricula.php?dipt=988,México,Circunscripcion,5
107,Guzmán De La Torre Francisco Javier,curricula.php?dipt=331,Jalisco,Circunscripcion,1
108,Guzmán Valdéz Edgar,curricula.php?dipt=215,Puebla,Distrito,7
109,Hernández Pérez César Agustín,curricula.php?dipt=155,México,Distrito,30
110,Hernández Pérez María Eugenia,curricula.php?dipt=136,México,Distrito,11
111,Hernández Tapia Arturo Roberto,curricula.php?dipt=160,México,Distrito,35
112,Hernández Villalpando Rafael,curricula.php?dipt=281,Veracruz,Distrito,10
113,Herrera Chávez Samuel,curricula.php?dipt=300,Zacatecas,Distrito,4
114,Herrera Pérez Gonzalo,curricula.php?dipt=173,Michoacán,Distrito,7
115,Hidalgo Ponce Javier Ariel,curricula.php?dipt=25,Ciudad de México,Distrito,10
116,Huerta Corona Benjamín Saúl,curricula.php?dipt=219,Puebla,Distrito,11
117,Huerta González Agustín Reynaldo,curricula.php?dipt=459,Puebla,Circunscripcion,4
118,Huerta Martínez Manuel,curricula.php?dipt=455,Guerrero,Circunscripcion,4
119,Huerta del Río María de los Ángeles,curricula.php?dipt=149,México,Distrito,24
120,Interian Gallegos Limbert Iván de Jesús,curricula.php?dipt=794,Yucatán,Distrito,3
121,Jarero Velázquez Miguel Pavel,curricula.php?dipt=184,Nayarit,Distrito,1
122,Jáuregui Montes de Oca Miguel Ángel,curricula.php?dipt=18,Ciudad de México,Distrito,3
